city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Foça , Kazım Dirik Mah.,2,1,120,5,0,3900000
İzmir , Bornova , Yıldırım Beyazıt Mah.,2,1,100,30,6,2650000
İzmir , Gaziemir , Gazi Mah.,2,1,95,13,3,4950000
İzmir , Bayraklı , Osmangazi Mah.,3,1,140,26,4,4950000
İzmir , Konak , Atilla Mah.,2,1,90,25,4,2600000
İzmir , Ödemiş , Gölcük Mah.,2,1,320,10,1,3700000
İzmir , Buca , Güven Mah.,2,1,105,31,2,2800000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,130,30,6,5500000
İzmir , Karaburun , Mordoğan Mah.,4,1,600,0,0,8000000
İzmir , Karşıyaka , Tersane Mah.,3,1,150,45,4,3250000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,100,36,5,5000000
İzmir , Menderes , Cüneytbey Mah.,3,1,140,10,1,4800000
İzmir , Konak , Kılıç Reis Mah.,3,1,145,4,3,5500000
İzmir , Konak , Kılıç Reis Mah.,3,1,145,4,3,5500000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,130,20,4,6950000
İzmir , Konak , Atilla Mah.,3,1,120,30,2,3100000
İzmir , Buca , Çamlıkule Mah.,3,1,165,17,1,2800000
İzmir , Karabağlar , Bahçelievler Mah.,3,1,120,20,2,4250000
İzmir , Torbalı , Cumhuriyet Mah.,3,1,145,0,3,5000000
İzmir , Buca , Kozağaç Mah.,2,1,95,6,1,3000000
İzmir , Karabağlar , Bahar Mah.,2,1,80,0,2,3300000
İzmir , Konak , Göztepe Mah.,2,1,110,31,1,3650000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,140,31,4,4390000
İzmir , Konak , Barbaros Mah.,2,1,128,3,1,3250000
İzmir , Karabağlar , Sevgi Mah.,2,1,140,4,4,4100000
İzmir , Karabağlar , Arap Hasan Mah.,2,1,100,31,1,3550000
İzmir , Konak , Piri Reis Mah.,3,1,130,31,1,3500000
İzmir , Karabağlar , Gülyaka Mah.,3,1,160,31,3,3400000
İzmir , Balçova , Çetin Emeç Mah.,2,1,120,31,2,4950000
İzmir , Menemen , Yahşelli Mah.,3,1,150,5,3,5000000
İzmir , Menemen , Kasımpaşa Mah.,3,1,140,26,4,3150000
İzmir , Bornova , Erzene Mah.,2,1,80,4,2,6350000
İzmir , Bayraklı , Manavkuyu Mah.,3,1,125,21,1,3500000
İzmir , Seferihisar , Turabiye Mah.,1,1,50,0,1,2300000
İzmir , Seferihisar , Hıdırlık Mah.,3,1,160,10,4,5750000
İzmir , Karabağlar , General Kazım Özalp Mah.,3,1,110,13,6,6800000
İzmir , Menemen , Villakent Mah.,5,1,210,0,0,8450000
İzmir , Bayraklı , Yamanlar Mah.,2,1,80,7,6,3250000
İzmir , Çiğli , Yakakent Mah.,2,1,66,0,1,2650000
İzmir , Torbalı , Ertuğrul Mah.,3,1,180,11,4,4950000
İzmir , Torbalı , Alpkent Mah.,3,1,140,0,1,3840000
İzmir , Balçova , Eğitim Mah.,3,1,95,30,1,3550000
İzmir , Karşıyaka , Şemikler Mah.,3,1,116,11,3,5150000
İzmir , Konak , Güzelyalı Mah.,3,1,125,31,3,4950000
İzmir , Çiğli , Balatçık Mah.,1,1,46,0,0,3900000
İzmir , Menemen , Cumhuriyet Mah.,2,1,100,3,2,2550000
İzmir , Buca , Adatepe Mah.,1,1,45,10,1,1900000
İzmir , Karşıyaka , Şemikler Mah.,2,1,103,21,4,3500000
İzmir , Çiğli , Balatçık Mah.,1,1,75,5,0,4500000
İzmir , Bayraklı , Yamanlar Mah.,3,1,135,5,2,4850000
İzmir , Bornova , Kazımdirik Mah.,3,1,100,2,4,7500000
İzmir , Karşıyaka , Cumhuriyet Mah.,2,1,50,1,3,3700000
İzmir , Torbalı , Fevzi Çakmak Mah.,2,1,90,6,2,2580000
İzmir , Torbalı , Torbalı Mah.,1,1,60,0,1,2250000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,130,0,0,7000000
İzmir , Buca , Adatepe Mah.,2,1,95,26,1,2950000
İzmir , Buca , İnkılap Mah.,1,1,50,11,1,2550000
İzmir , Buca , Yıldız Mah.,2,0,60,5,0,1995000
İzmir , Buca , Buca Koop. Mah.,2,1,100,5,1,4550000
İzmir , Buca , Yiğitler Mah.,2,1,100,31,0,2600000
İzmir , Buca , Yiğitler Mah.,2,1,100,21,5,2200000
İzmir , Buca , Barış Mah.,3,1,140,26,1,5800000
İzmir , Bornova , Gürpınar Mah.,3,1,115,26,1,3050000
İzmir , Menderes , Cüneytbey Mah.,3,1,155,4,2,4850000
İzmir , Buca , Efeler Mah.,1,1,50,0,3,3100000
İzmir , Karabağlar , Vatan Mah.,1,1,75,0,9,2550000
İzmir , Karşıyaka , Fikri Altay Mah.,1,1,60,0,1,3250000
İzmir , Buca , Göksu Mah.,2,1,90,5,2,2750000
İzmir , Buca , Yaylacık Mah.,1,1,67,0,3,1675000
