city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Narlıdere , Çamtepe Mah.,3,1,140,14,-2,3600000
İzmir , Selçuk , 14 Mayıs Mah.,3,1,138,0,2,8370000
İzmir , Menderes , Çukuraltı Mah.,3,1,200,0,1,15000000
İzmir , Kınık , Büyükoba Mah.,2,1,120,5,0,3250000
İzmir , Karabağlar , Kazım Karabekir Mah.,3,1,140,35,5,2650000
İzmir , Kemalpaşa , Ulucak Cumhuriyet Mah.,2,1,105,0,1,3350000
İzmir , Karşıyaka , Mavişehir Mah.,1,1,85,21,4,6700000
İzmir , Urla , Çamlıçay Mah.,3,1,140,25,0,9450000
İzmir , Selçuk , Cumhuriyet Mah.,3,1,130,12,3,4000000
İzmir , Bornova , Atatürk Mah.,3,1,125,25,2,3750000
İzmir , Karşıyaka , Goncalar Mah.,3,1,140,28,2,4000000
İzmir , Karşıyaka , Demirköprü Mah.,3,1,140,0,5,6950000
İzmir , Gaziemir , Gazi Mah.,2,1,115,8,1,6000000
İzmir , Dikili , Salihler Mah.,3,1,100,20,0,8750000
İzmir , Bornova , Tuna Mah.,4,1,180,20,0,8000000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,3,1,90,30,1,4800000
İzmir , Menemen , 9 Eylül Mah.,1,1,75,6,1,2150000
İzmir , Konak , Göztepe Mah.,3,1,100,35,1,3950000
İzmir , Bornova , Evka 3 Mah.,3,1,158,14,3,13850000
İzmir , Seferihisar , Camikebir Mah.,1,1,80,0,3,3000000
İzmir , Karşıyaka , Zübeyde Hanım Mah.,3,1,135,5,3,4750000
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,2,1,75,10,1,8500000
İzmir , Buca , Hürriyet Mah.,2,1,75,6,1,2700000
İzmir , Urla , Gülbahçe Mah.,2,1,70,7,1,6100000
İzmir , Menemen , Uğur Mumcu Mah.,3,1,130,7,1,3500000
İzmir , Konak , Mimar Sinan Mah.,3,1,160,24,7,11000000
İzmir , Konak , Murat Reis Mah.,3,1,110,30,1,3200000
İzmir , Gaziemir , Atıfbey Mah.,3,1,125,25,3,5500000
İzmir , Torbalı , Alpkent Mah.,2,1,100,5,3,3000000
İzmir , Selçuk , Cumhuriyet Mah.,3,1,145,22,4,2850000
İzmir , Çeşme , 16 Eylül Mah.,2,1,192,4,1,8500000
İzmir , Konak , Murat Reis Mah.,3,1,130,45,2,5900000
İzmir , Menderes , Altıntepe Mah.,3,1,140,12,4,5100000
İzmir , Konak , Altıntaş Mah.,3,1,110,31,2,3850000
İzmir , Urla , M. Fevzi Çakmak Mah.,3,1,160,25,3,8450000
İzmir , Buca , Atatürk Mah.,1,1,55,4,3,2250000
İzmir , Buca , Güven Mah.,2,1,80,11,2,2900000
İzmir , Buca , Yenigün Mah.,3,1,125,29,6,3500000
İzmir , Bayraklı , Manavkuyu Mah.,1,1,60,0,1,4250000
İzmir , Güzelbahçe , Mustafa Kemal Paşa Mah.,3,1,100,10,1,5250000
İzmir , Karşıyaka , Demirköprü Mah.,2,1,85,10,1,4200000
İzmir , Balçova , Onur Mah.,2,1,100,38,3,3850000
İzmir , Foça , Yenibağarası Mah.,3,1,140,4,0,8925000
İzmir , Çeşme , Yalı Mah.,3,1,120,0,1,15000000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,130,31,4,10350000
İzmir , Torbalı , Ertuğrul Mah.,4,1,195,26,3,3050000
İzmir , Menemen , İncirli Pınar Mah.,3,1,130,1,3,3750000
İzmir , Foça , Hacıveli Mah.,2,1,85,1,6,3750000
İzmir , Karabağlar , Vatan Mah.,2,1,140,0,5,5900000
İzmir , Menemen , Uğur Mumcu Mah.,3,1,234,10,4,5200000
İzmir , Seferihisar , Mersin Alanı Mah.,2,1,95,0,3,4700000
İzmir , Torbalı , Muratbey Mah.,1,1,55,0,1,1800000
İzmir , Karşıyaka , Aksoy Mah.,3,1,130,25,1,5600000
İzmir , Bayraklı , Körfez Mah.,2,1,115,0,3,4950000
İzmir , Menemen , Irmak Mah.,1,1,118,4,4,3500000
İzmir , Karabağlar , Arap Hasan Mah.,3,1,125,30,7,7180000
İzmir , Torbalı , Ertuğrul Mah.,4,1,205,4,1,7879000
İzmir , Karabağlar , Basın Sitesi Mah.,2,1,85,35,1,2950000
İzmir , Çiğli , Balatçık Mah.,1,1,45,0,3,3150000
İzmir , Torbalı , Atatürk Mah.,2,1,110,8,6,2400000
İzmir , Çiğli , Uğur Mumcu Mah.,3,1,135,2,2,5300000
